event_id,field_changed,v2_1_value,v2_2_value,change_reason,evidence_reference
EVT-BSEE-0001,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1021:1036
EVT-BSEE-0003,iogp_rules,Hot work,Hot work; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_691:699
EVT-BSEE-0004,iogp_rules,Safe mechanical lifting; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_72:282
EVT-BSEE-0005,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_3619:3633
EVT-BSEE-0007,iogp_rules,Safe mechanical lifting,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_72:242
EVT-BSEE-0008,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_6764:6772
EVT-BSEE-0010,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1148:1153
EVT-BSEE-0014,iogp_rules,Energy isolation; Hot work; Work authorization,Hot work,Two-pass semantic re-evaluation with exact character offset validation,char_1659:1668
EVT-BSEE-0015,iogp_rules,NONE,Energy isolation,Two-pass semantic re-evaluation with exact character offset validation,char_645:787
EVT-BSEE-0016,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization; Working at height,Work authorization; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_3046:3049
EVT-BSEE-0017,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_456:593
EVT-BSEE-0020,iogp_rules,Safe mechanical lifting; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_1444:1461
EVT-BSEE-0021,iogp_rules,Driving; Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_212:219
EVT-BSEE-0023,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1450:1455
EVT-BSEE-0024,iogp_rules,Safe mechanical lifting; Working at height,Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_622:633
EVT-BSEE-0025,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1649:1655
EVT-BSEE-0028,iogp_rules,Safe mechanical lifting; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1130:1139
EVT-BSEE-0037,iogp_rules,Hot work; Safe mechanical lifting; Work authorization,Hot work,Two-pass semantic re-evaluation with exact character offset validation,char_1387:1395
EVT-BSEE-0039,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_417:424
EVT-BSEE-0040,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1748:1920
EVT-BSEE-0043,iogp_rules,Work authorization; Working at height,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_0:59
EVT-BSEE-0044,iogp_rules,Hot work; Safe mechanical lifting,Hot work,Two-pass semantic re-evaluation with exact character offset validation,char_448:576
