event_id,event_type,source_organization,source_tier,document_id,document_title,document_sha256,url,event_date,industry,activity,energy_type,energy_source,sif_potential,label_type,sif_evidence,barriers_count,iogp_rules_count,actual_consequence,potential_consequence,dataset_tier,overall_quality,duplicate_status
"EVT-BSEE-0001","UA","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0001","Segregate Pyrotechnics and Verify Flare Type Before Emergency Drills","03a91c1d0c01f35ed6773297a5182d01bf8f62f80b233e1fac05176ae1f3df41","https://www.bsee.gov/safety-alerts/segregate-pyrotechnics-and-verify-flare-type-before-emergency-drills","","Offshore Oil and Gas","Drilling & Well Intervention","THERMAL","burn","UNKNOWN","UNKNOWN","","1","1","None reported / Equipment stoppage or minor disruption.","Local hazard exposure with manageable outcome.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0002","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0002","Improvements Needed In Production Safety System Training","289244d5c66fba01b8aa9dd0f8ab75c26cd35aac90b284bdad1d995674591e21","https://www.bsee.gov/safety-alerts/improvements-needed-in-production-safety-system-training","","Offshore Oil and Gas","Drilling & Well Intervention","CHEMICAL","hydrogen sulfide","FALSE","DERIVED","Controlled chemical energy event without acute SIF potential","1","0","None reported / Equipment stoppage or minor disruption.","Local hazard exposure with manageable outcome.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0003","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0003","Control Portable Electronic Device Use to Prevent Ignition Hazards Offshore","aa9bdb68e4f8422a821bbd090395d858fe6480198bcfb492d6d70134649a8b99","https://www.bsee.gov/safety-alerts/control-portable-electronic-device-use-to-prevent-ignition-hazards-offshore","","Offshore Oil and Gas","Drilling & Well Intervention","THERMAL","hot work","TRUE","EXPLICIT","se in specific hazardous (classified) locations based on the applicable C","1","2","None reported / Equipment stoppage or minor disruption.","Major hydrocarbon fire or explosion resulting in multiple fatalities and facility loss.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0004","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0004","Inspect A2B Systems and Wire Rope Terminations to Prevent Crane Hazards","67e560035f70f84a08c32b8e8784795e376d7dc4b55faf283bf176d4bdc1fe74","https://www.bsee.gov/safety-alerts/inspect-a2b-systems-and-wire-rope-terminations-to-prevent-crane-hazards","","Offshore Oil and Gas","Lifting & Rigging Operations","GRAVITATIONAL","crane","TRUE","DERIVED","Derived SIF: Uncontrolled gravitational energy with compromised barrier and line-of-fire exposure","2","1","Minor injury requiring first aid or medical attention.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0005","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0005","Verify Riser Fin Retention Systems Before Prompts Riser-Handling Operations","c046e244381112d07b6f2aa877e0f57f9fff7c7096076a2ca1473f265f0a9d4b","https://www.bsee.gov/safety-alerts/verify-riser-fin-retention-systems-before-prompts-riser-handling-operations","","Offshore Oil and Gas","Lifting & Rigging Operations","GRAVITATIONAL","dropped object","TRUE","EXPLICIT","of force could have caused a fatal injury if  personnel had been in the impact ar","1","2","Fatal injury occurred.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0006","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0006","Mechanical Failure of LACT Pump Caused Fire","495fa538501285bfa1ba130ed014df417a81513284703700b3df2373b23945e5","https://www.bsee.gov/safety-alerts/mechanical-failure-of-lact-pump-caused-fire","","Offshore Oil and Gas","Subsea & Diving Operations","THERMAL","fire","TRUE","DERIVED","Derived SIF: Uncontrolled thermal energy with compromised barrier and line-of-fire exposure","1","1","None reported / Equipment stoppage or minor disruption.","Major hydrocarbon fire or explosion resulting in multiple fatalities and facility loss.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0007","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0007","Poorly Maintained Crane Components Result in Multiple Personnel Injured During Transfers","4d683d81fffc04677760e88bdb1e4e2797e5912fcdeb80865462dc439a88b742","https://www.bsee.gov/safety-alerts/poorly-maintained-crane-components-result-in-multiple-personnel-injured-during","","Offshore Oil and Gas","Lifting & Rigging Operations","GRAVITATIONAL","crane","TRUE","DERIVED","Derived SIF: Uncontrolled gravitational energy with compromised barrier and line-of-fire exposure","3","1","None reported / Equipment stoppage or minor disruption.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0008","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0008","BSEE Identifies Compressed Gas Cylinder Hazards During Risk-Based Inspections","377c09885be18063a09f8c4817274f7811048c0fa9cb33fcecafda6240c45d35","https://www.bsee.gov/safety-alerts/bsee-identifies-compressed-gas-cylinder-hazards-during-risk-based-inspections","","Offshore Oil and Gas","Drilling & Well Intervention","PRESSURE","bar","TRUE","DERIVED","Derived SIF: Uncontrolled pressure energy with compromised barrier and line-of-fire exposure","2","0","None reported / Equipment stoppage or minor disruption.","Fatal injection, impact, or explosion from uncontrolled high-pressure fluid release.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0009","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0009","Verify Megge Testing and Termination Prep to Prevent Seawater Pump Motor Fires","0701fc93b00352ce67e92b80f064bdc2742a79b52fadc0ce2ba2b8be0eeb642d","https://www.bsee.gov/safety-alerts/verify-megge-testing-and-termination-prep-to-prevent-seawater-pump-motor-fires","","Offshore Oil and Gas","Subsea & Diving Operations","THERMAL","fire","TRUE","DERIVED","Derived SIF: Uncontrolled thermal energy with compromised barrier and line-of-fire exposure","1","0","Minor injury requiring first aid or medical attention.","Major hydrocarbon fire or explosion resulting in multiple fatalities and facility loss.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0010","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0010","Exterior Walkway Separates from Temporary Living Quarters, Putting Workers at Risk","f3920cd749473699b6e1a689ffc8a100101db9576139b65994f3db250935741a","https://www.bsee.gov/safety-alerts/exterior-walkway-separates-from-temporary-living-quarters-putting-workers-at-risk","","Offshore Oil and Gas","Subsea & Diving Operations","GRAVITATIONAL","dropped object","TRUE","DERIVED","Derived SIF: Uncontrolled gravitational energy with compromised barrier and line-of-fire exposure","1","0","None reported / Equipment stoppage or minor disruption.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
