event_id,source_id,source_organization,narrative_excerpt,canonical_injury,audited_injury,canonical_fatality,audited_fatality,canonical_actual,audited_actual,consequence_status,error_code,explanation,recommended_repair
EVT-BSEE-0060,SRC-BSEE-0060,Bureau of Safety and Environmental Enforcement (BSEE),"Safety Alert No. 459  March 8, 2023  Contact: bseepublicaffairs@bsee.gov  Phone: (800) 200-4853    Lack of   training with Hydraulic Torque Wrench contributes to fatality  aboard the drillship        Figure 1. Floorhand Bolt Removal Figure 2. Riser B",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0005,SRC-BSEE-0005,Bureau of Safety and Environmental Enforcement (BSEE),"Safety Alert No. 519  Date: July 1, 2026  Contact: bseepublicaffairs@bsee.gov  Phone: (800) 200-4853  Verify Riser Fin Retention Systems Before Prompts  Riser-Handling Operations                                                                        ",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0317,SRC-BSEE-0317,Bureau of Safety and Environmental Enforcement (BSEE),"U.S. Department of the Interior Minerals Management Service Gulf of Mexico OCS Region Safety Alert No. 202 June 20, 2002 Contact: Jack Williams (504) 731-3012 Temporary Crane Support Failure — Fatality Recently, a 20-ton capacity temporary rental cra",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0078,SRC-BSEE-0078,Bureau of Safety and Environmental Enforcement (BSEE),"Contact: bseepublicaffairs@bsee.gov  Phone: (800) 200-4853                  Toppled Hydraulic Workover Unit Results in Fatality      Hydraulic Workover Unit Before(left) and After (right) Fatal Incident  Recently, a hydraulic workover unit (HWU) topp",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0363,SRC-BSEE-0363,Bureau of Safety and Environmental Enforcement (BSEE),"Safety Alert No. 156 - Fire on the Water Beneath Facilities http://www.gomr.boemre.gov/homepg/offshore/safety/safealt/SA_156...  U.S.    Department of the Interior   Minerals Management Service   Gulf of Mexico OCS Region   Notice No. 156  July 6, 19",null,Burn injury,False,False,None reported / Equipment stoppage or minor disruption.,Burn injury,CONTRADICTED,SEM-009,Source narrative documents injury but consequence field records null/none reported.,Set consequence.injury='Burn injury' and update actual consequence.
EVT-BSEE-0335,SRC-BSEE-0335,Bureau of Safety and Environmental Enforcement (BSEE),"U.S. Department of the Interior Minerals Management Service Gulf of Mexico OCS Region Safety Alert No. 184 November 19, 1999 Contact: Frank Pausina 504-736-2560 Fire with Fatality and Injuries An operator, in attempting to return to production a well",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0043,SRC-BSEE-0043,Bureau of Safety and Environmental Enforcement (BSEE),Figure 2 - Part of casing protruding out of well drive-pipe.                                                                                                                                                                                              ,Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0350,SRC-BSEE-0350,Bureau of Safety and Environmental Enforcement (BSEE),Safety Alert No. 169 - Personnel Falls Result in Three Fatalities http://www.gomr.boemre.gov/homepg/offshore/safety/safealt/SA_169...  U.S.    Department of the Interior   Minerals Management Service   Gulf of Mexico OCS Region   Notice No. 169  Nove,Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0039,SRC-BSEE-0039,Bureau of Safety and Environmental Enforcement (BSEE),SAFETY ALERT  Contact: bseepublicaffairs@bsee.gov  Phone: 800.200.4853           Fingerboard Locking Bolt Failure Leads to Near Miss  Incident  The Bureau of Safety and Environmental Enforcement (BSEE) recently investigated a  high potential near mis,Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0312,SRC-BSEE-0312,Bureau of Safety and Environmental Enforcement (BSEE),Safety Alert No. 207-Rentqal Crane Bracing Failure in Fatalityhttp://www.gomr.boemre.gov/homepg/offshore/safety/safealt/SA_207... U.S. Department of the Interior Minerals Management Service Gulf of Mexico OCS Region Safety Alert No. 207Contact: Jack ,Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0274,SRC-BSEE-0274,Bureau of Safety and Environmental Enforcement (BSEE),"Safety Alert No. 241  Contact: Glenn Woltman July 6, 2006  (504) 736-2438  Shallow-Gas Blowout and Rig Evacuation  While drilling below drive pipe in open water in the South Timbalier area, the operator experienced an  unexpected gas flow at surface,",Fracture / Lost time injury,Fracture / serious personal injury,False,False,Lost time / serious personal injury sustained.,Lost time / serious personal injury sustained.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0027,SRC-BSEE-0027,Bureau of Safety and Environmental Enforcement (BSEE),SAFETY ALERT  Contact: bseepublicaffairs@bsee.gov  Phone: (800) 200-4853           BSEE Alerts Offshore Workers to Series of Incidents  Involving Self-Retracting Lanyards for Fall Protection   The Bureau of Safety and Environmental Enforcement (BSEE),First aid / minor laceration or contusion,None reported,False,False,Minor injury requiring first aid or medical attention.,Minor injury requiring first aid or medical attention.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0347,SRC-BSEE-0347,Bureau of Safety and Environmental Enforcement (BSEE),"http://www.gomr.boemre.gov/homepg/offshore/safety/safealt/SA_172...  U.S.    Department of the Interior  Minerals Management Service   Gulf of Mexico OCS Region   Notice No. 172  August 27, 1997  Personnel Overexposed to Carbon Monoxide  Recently, wh",null,Personal injury requiring hospitalization,False,False,None reported / Equipment stoppage or minor disruption.,Personal injury requiring hospitalization,CONTRADICTED,SEM-009,Source narrative documents injury but consequence field records null/none reported.,Set consequence.injury='Personal injury requiring hospitalization' and update actual consequence.
EVT-BSEE-0015,SRC-BSEE-0015,Bureau of Safety and Environmental Enforcement (BSEE),"Safety Alert No. 506  Date: Sept. 30, 2025  Contact: bseepublicaffairs@bsee.gov  Phone: (800) 200-4853  Arc Flash Incident Highlights Critical Need for Voltage Verification  During Offshore Electrical Maintenance                                   Inc",null,Second-degree burn injury,False,False,None reported / Equipment stoppage or minor disruption.,Second-degree burn injury,CONTRADICTED,SEM-009,Source narrative documents injury but consequence field records null/none reported.,Set consequence.injury='Second-degree burn injury' and update actual consequence.
EVT-BSEE-0012,SRC-BSEE-0012,Bureau of Safety and Environmental Enforcement (BSEE),"Safety Alert No. 509  Contact: bseepublicaffairs@bsee.gov                    Date: Dec. 3, 2025  Phone: (800) 200-4853  Miscommunication and Trapped Pressure Causes  Injury During Valve Maintenance    Figure 1: Trapped Pressure on Control Valve being",First aid / minor laceration or contusion,None reported,False,False,Minor injury requiring first aid or medical attention.,Minor injury requiring first aid or medical attention.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0361,SRC-BSEE-0361,Bureau of Safety and Environmental Enforcement (BSEE),Safety Alert No. 158 - Water-Treating Facility Upset Leads to Fire on... http://www.gomr.boemre.gov/homepg/offshore/safety/safealt/SA_158...  U.S.    Department of the Interior   Minerals Management Service   Gulf of Mexico OCS Region   Notice No. 15,null,Burn injury,False,False,None reported / Equipment stoppage or minor disruption.,Burn injury,CONTRADICTED,SEM-009,Source narrative documents injury but consequence field records null/none reported.,Set consequence.injury='Burn injury' and update actual consequence.
EVT-BSEE-0064,SRC-BSEE-0064,Bureau of Safety and Environmental Enforcement (BSEE),SAFETY ALERT  Contact: bseepublicaffairs@bsee.gov  Phone: (800) 200-4853     Figure 1 – Temporarily installed air dryer with bull hose connections.  Original whip check position (Left Circle) and the location of the injured  persons hand placement on,First aid / minor laceration or contusion,None reported,False,False,Minor injury requiring first aid or medical attention.,Minor injury requiring first aid or medical attention.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0068,SRC-BSEE-0068,Bureau of Safety and Environmental Enforcement (BSEE),"Contact: bseepublicaffairs@bsee.gov  Phone: (800) 200-4853                  Body Mechanics, Lifting Techniques, and Repetitive  Motion Lead to Strain Injuries    Reenactment of recent injury due to excessive force and awkward body position      The B",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0345,SRC-BSEE-0345,Bureau of Safety and Environmental Enforcement (BSEE),Safety Alert No. 174 - Accumulation of Gas in Living Quarters Result... http://www.gomr.boemre.gov/homepg/offshore/safety/safealt/sa_174 U.S.    Department of the Interior   Minerals Management Service   Gulf of Mexico OCS Region   Notice No. 174  No,null,Burn injury,False,False,None reported / Equipment stoppage or minor disruption.,Burn injury,CONTRADICTED,SEM-009,Source narrative documents injury but consequence field records null/none reported.,Set consequence.injury='Burn injury' and update actual consequence.
EVT-BSEE-0061,SRC-BSEE-0061,Bureau of Safety and Environmental Enforcement (BSEE),"SAFETY ALERT  Contact: bseepublicaffairs@bsee.gov  Phone: (800) 200-4853              Investigation of Subsea Leak Identifies the Use of Materials  Susceptible to Hydrogen Embrittlement          In July 2020, approximately 479 barrels of oil released",Fracture / Lost time injury,Fracture / serious personal injury,False,False,Lost time / serious personal injury sustained.,Lost time / serious personal injury sustained.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0227,SRC-BSEE-0227,Bureau of Safety and Environmental Enforcement (BSEE),"BOEM  U.S. Department of the Interior  Bureau of Ocean Energy Management,  Regulation, and  Enforcement   Gulf of Mexico OCS Region  Safety  Alert  Safety Alert No. 289 	 27 September 2010 	 Contact:  Glynn T. Breaux  (504) 736-2560  Failure to Follo",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0066,SRC-BSEE-0066,Bureau of Safety and Environmental Enforcement (BSEE),"Contact: bseepublicaffairs@bsee.gov  Phone: 800.200.4853                  Fires During Decommissioning Cause Injuries                                              Recently, a contractor was injured by a severe flash fire while performing “hot work” 1",First aid / minor laceration or contusion,Burn injury,False,False,Minor injury requiring first aid or medical attention.,Minor injury requiring first aid or medical attention.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0225,SRC-BSEE-0225,Bureau of Safety and Environmental Enforcement (BSEE),"BOEMRE  U.S. Department of the Interior  Bureau of Ocean Energy Management,  Regulation and Enforcement  Gulf of Mexico OCS Region  Safety  Alert  Safety Alert No. 291 Contact:  Glynn T. Breaux  10 January 2011 (504) 736-2560  Cutting into Process Pi",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0236,SRC-BSEE-0236,Bureau of Safety and Environmental Enforcement (BSEE),"MMS  U.S. Department of the Interior  Minerals Management Service   Gulf of Mexico OCS Region  Safety  Alert  Safety Alert No. 280 Contact:  Manny Gagliano  May 13, 2009 (504) 736 2549  Worker Fatally Struck by Moving Pipe During Pipelay Operations  ",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0001,SRC-BSEE-0001,Bureau of Safety and Environmental Enforcement (BSEE),Segregate Pyrotechnics and Verify Flare Type   Before Emergency Drills         Figure 1: Parachute Flare    Background  The Marine Minerals Administration Gulf of America Region recently investigated an  incident in which a worker sustained second-de,null,Second-degree burn injury,False,False,None reported / Equipment stoppage or minor disruption.,Second-degree burn injury,CONTRADICTED,SEM-009,Source narrative documents injury but consequence field records null/none reported.,Set consequence.injury='Second-degree burn injury' and update actual consequence.
EVT-BSEE-0211,SRC-BSEE-0211,Bureau of Safety and Environmental Enforcement (BSEE),"1      BSEE      U.S. Department of the Interior  Bureau of Safety and Environmental  Enforcement    Safety  Alert    Safety Alert 305 Contact:  Kevin Sterling  25 November 2013 (504) 731-1523    Explosion, Fire and Fatalities West Delta Block 32 Pla",Fatal injury,Burn injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0257,SRC-BSEE-0257,Bureau of Safety and Environmental Enforcement (BSEE),"MMS  U.S. Department of the Interior  Minerals Management Service   Gulf of Mexico OCS Region  Safety  Alert  Safety Alert No. 258 	Contact:  Randall Josey  16 January 2008 	(504) 736 2409  Falling Debris Causes Injury  Recently, contract rig personn",First aid / minor laceration or contusion,None reported,False,False,Minor injury requiring first aid or medical attention.,Minor injury requiring first aid or medical attention.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
