event_id,event_type,source_organization,document_title,url,event_date,country,region,facility,sif_potential,sif_label_type,energy_mechanism,energy_status,barrier_state,iogp_supported_rules,dataset_tier,ml_eligibility,duplicate_group_id,provenance_status
EVT-BSEE-0001,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Segregate Pyrotechnics and Verify Flare Type Before Emergency Drills,https://www.bsee.gov/safety-alerts/segregate-pyrotechnics-and-verify-flare-type-before-emergency-drills,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00001,VERIFIED
EVT-BSEE-0002,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Improvements Needed In Production Safety System Training,https://www.bsee.gov/safety-alerts/improvements-needed-in-production-safety-system-training,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,DERIVED,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00002,VERIFIED
EVT-BSEE-0003,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),Control Portable Electronic Device Use to Prevent Ignition Hazards Offshore,https://www.bsee.gov/safety-alerts/control-portable-electronic-device-use-to-prevent-ignition-hazards-offshore,,United States,US Gulf of Mexico / OCS,UNKNOWN,UNKNOWN,UNKNOWN,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Hot work; Work authorization,SILVER,ML_ELIGIBLE,GRP-00003,VERIFIED
EVT-BSEE-0004,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Inspect A2B Systems and Wire Rope Terminations to Prevent Crane Hazards,https://www.bsee.gov/safety-alerts/inspect-a2b-systems-and-wire-rope-terminations-to-prevent-crane-hazards,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,GRAVITATIONAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00004,VERIFIED
EVT-BSEE-0005,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Verify Riser Fin Retention Systems Before Prompts Riser-Handling Operations,https://www.bsee.gov/safety-alerts/verify-riser-fin-retention-systems-before-prompts-riser-handling-operations,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,GRAVITATIONAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00005,VERIFIED
EVT-BSEE-0006,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Mechanical Failure of LACT Pump Caused Fire,https://www.bsee.gov/safety-alerts/mechanical-failure-of-lact-pump-caused-fire,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,DERIVED,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00006,VERIFIED
EVT-BSEE-0007,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Poorly Maintained Crane Components Result in Multiple Personnel Injured During Transfers,https://www.bsee.gov/safety-alerts/poorly-maintained-crane-components-result-in-multiple-personnel-injured-during,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,DERIVED,GRAVITATIONAL,HIGH_ENERGY_RELEASED,UNKNOWN,Work authorization,GOLD,ML_ELIGIBLE,GRP-00007,VERIFIED
EVT-BSEE-0008,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Identifies Compressed Gas Cylinder Hazards During Risk-Based Inspections,https://www.bsee.gov/safety-alerts/bsee-identifies-compressed-gas-cylinder-hazards-during-risk-based-inspections,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,DERIVED,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00008,VERIFIED
EVT-BSEE-0009,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Verify Megge Testing and Termination Prep to Prevent Seawater Pump Motor Fires,https://www.bsee.gov/safety-alerts/verify-megge-testing-and-termination-prep-to-prevent-seawater-pump-motor-fires,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00009,VERIFIED
EVT-BSEE-0010,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),"Exterior Walkway Separates from Temporary Living Quarters, Putting Workers at Risk",https://www.bsee.gov/safety-alerts/exterior-walkway-separates-from-temporary-living-quarters-putting-workers-at-risk,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,DERIVED,GRAVITATIONAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00010,VERIFIED
EVT-BSEE-0011,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),"Crane Incident During Well Abandonment Operations Injures Worker, Reveals Safety Gaps",https://www.bsee.gov/safety-alerts/crane-incident-during-well-abandonment-operations-injures-worker-reveals-safety-gaps,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,GRAVITATIONAL,HIGH_ENERGY_RELEASED,UNKNOWN,Safe mechanical lifting,GOLD,ML_ELIGIBLE,GRP-00011,VERIFIED
EVT-BSEE-0012,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Miscommunication and Trapped Pressure Causes Injury,https://www.bsee.gov/safety-alerts/miscommunication-and-trapped-pressure-causes-injury,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,Energy isolation; Work authorization; Working at height,GOLD,ML_ELIGIBLE,GRP-00012,VERIFIED
EVT-BSEE-0013,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Review anchor-handling plans now Incident damages subsea equipment triggers gas release,https://www.bsee.gov/safety-alerts/review-anchor-handling-plans-now-incident-damages-subsea-equipment-triggers-gas,,United States,US Gulf of Mexico / OCS,Jack-up Rig,TRUE,EXPLICIT,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00013,VERIFIED
EVT-BSEE-0014,UC,Bureau of Safety and Environmental Enforcement (BSEE),Improper Use of Equipment and Tools Increases Risk of Fires and Explosions Offshore,https://www.bsee.gov/safety-alerts/improper-use-of-equipment-and-tools-increases-risk-of-fires-and-explosions-offshore,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,DERIVED,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Hot work,GOLD,ML_ELIGIBLE,GRP-00014,VERIFIED
EVT-BSEE-0015,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Arc Flash Incident Highlights Critical Need for Voltage Verification During Offshore Electrical Maintenance,https://www.bsee.gov/safety-alerts/arc-flash-incident-highlights-critical-need-for-voltage-verification-during-offshore,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Energy isolation,GOLD,ML_ELIGIBLE,GRP-00015,VERIFIED
EVT-BSEE-0016,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Risk-Based Inspections Reveal Increase in Slip-Trip-Fall Hazards on Offshore Facilities,https://www.bsee.gov/safety-alerts/bsee-risk-based-inspections-reveal-increase-in-slip-trip-fall-hazards-on-offshore,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,Work authorization; Working at height,GOLD,ML_ELIGIBLE,GRP-00016,VERIFIED
EVT-BSEE-0017,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Malfunction of Rental Generator’s Engine Air Shutoff System Led to Fire,https://www.bsee.gov/safety-alerts/malfunction-of-rental-generators-engine-air-shutoff-system-led-to-fire,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00017,VERIFIED
EVT-BSEE-0018,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Fatigue Cracking of ¾-Inch Pipe Nipple Results in Gas Release,https://www.bsee.gov/safety-alerts/fatigue-cracking-of-34-inch-pipe-nipple-results-in-gas-release,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00018,VERIFIED
EVT-BSEE-0019,UA,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Identifies Bypassed Safety Device Deficiencies during Risk-Based Inspections,https://www.bsee.gov/safety-alerts/bsee-identifies-bypassed-safety-device-deficiencies-during-risk-based-inspections,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,DERIVED,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,Bypassing safety controls,GOLD,ML_ELIGIBLE,GRP-00019,VERIFIED
EVT-BSEE-0020,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Dropped Steel Plate Due to Defective Lifting Device and Inadequate Hazard Analysis,https://www.bsee.gov/safety-alerts/dropped-steel-plate-due-to-defective-lifting-device-and-inadequate-hazard-analysis,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Work authorization,GOLD,ML_ELIGIBLE,GRP-00020,VERIFIED
EVT-BSEE-0021,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),Failed Umbilical Termination Results in Dropped Remotely Operated Vehicle (ROV),https://www.bsee.gov/safety-alerts/failed-umbilical-termination-results-in-dropped-remotely-operated-vehicle-rov,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,DERIVED,GRAVITATIONAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00021,VERIFIED
EVT-BSEE-0022,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Explosion and Fire on Liftboat Injure Workers – BSEE Calls for Enhanced Safety Measures and Emergency Preparedness,https://www.bsee.gov/safety-alerts/explosion-and-fire-on-liftboat-injure-workers-bsee-calls-for-enhanced-safety-measures,,United States,US Gulf of Mexico / OCS,Mobile Offshore Drilling Unit (MODU),TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00022,VERIFIED
EVT-BSEE-0023,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Weather Creates Sudden and Unpredictable Risks,https://www.bsee.gov/safety-alerts/weather-creates-sudden-and-unpredictable-risks,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00023,VERIFIED
EVT-BSEE-0024,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Misidentification of Corrosion Hazard Results in High Potential Event,https://www.bsee.gov/safety-alerts/misidentification-of-corrosion-hazard-results-in-high-potential-event,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Working at height,GOLD,ML_ELIGIBLE,GRP-00024,VERIFIED
EVT-BSEE-0025,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Turbine Generator Exhaust Silencer Failure_1_27_25,https://www.bsee.gov/safety-alerts/turbine-generator-exhaust-silencer-failure-1-27-25,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00025,VERIFIED
EVT-BSEE-0026,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Ruptured Nitrogen Cylinders,https://www.bsee.gov/safety-alerts/ruptured-nitrogen-cylinders,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,DERIVED,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00026,VERIFIED
EVT-BSEE-0027,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Alerts Offshore Workers to Series of Incidents Involving Self-Retracting Lanyards for Fall Protection,https://www.bsee.gov/safety-alerts/bsee-alerts-offshore-workers-to-series-of-incidents-involving-self-retracting,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,Working at height,GOLD,ML_ELIGIBLE,GRP-00027,VERIFIED
EVT-BSEE-0028,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),Vigilance Required in Offshore Helideck Operations,https://www.bsee.gov/safety-alerts/vigilance-required-in-offshore-helideck-operations,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,GRAVITATIONAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00028,VERIFIED
EVT-BSEE-0029,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),Helideck Condition Notifications and Verification,https://www.bsee.gov/safety-alerts/helideck-condition-notifications-and-verification,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,UNKNOWN,UNKNOWN,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00029,VERIFIED
EVT-BSEE-0030,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Reminds Offshore Workers: Conduct Pre-Job Assessment for Potential Hazards; Stay Vigilant of Surroundings,https://www.bsee.gov/safety-alerts/bsee-reminds-offshore-workers-conduct-pre-job-assessment-for-potential-hazards-stay,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,DERIVED,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,Hot work; Working at height,GOLD,ML_ELIGIBLE,GRP-00030,VERIFIED
EVT-BSEE-0031,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Flash Fires During Welding Operations,https://www.bsee.gov/safety-alerts/flash-fires-during-welding-operations,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Hot work,GOLD,ML_ELIGIBLE,GRP-00031,VERIFIED
EVT-BSEE-0032,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Recurring Hand Injuries While Using Alternative Cutting Devices,https://www.bsee.gov/safety-alerts/recurring-hand-injuries-while-using-alternative-cutting-devices,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,UNKNOWN,UNKNOWN,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00032,VERIFIED
