event_id,event_type,source_org,source_id,document_title,url,country,region,facility,activity,energy_type,energy_status,exposure_present,exposure_type,barrier_count,actual_consequence,potential_consequence,sif_potential,sif_label_type,dataset_tier,provenance_status,duplicate_status,duplicate_group_id
EVT-BSEE-0001,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0001,Segregate Pyrotechnics and Verify Flare Type Before Emergency Drills,https://www.bsee.gov/safety-alerts/segregate-pyrotechnics-and-verify-flare-type-before-emergency-drills,United States,US Gulf of Mexico / OCS,UNKNOWN,Drilling & Well Intervention,THERMAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,1,None reported / Equipment stoppage or minor disruption.,Local hazard exposure with manageable outcome.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00001
EVT-BSEE-0002,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0002,Improvements Needed In Production Safety System Training,https://www.bsee.gov/safety-alerts/improvements-needed-in-production-safety-system-training,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Drilling & Well Intervention,PRESSURE,DERIVED,False,,0,None reported / Equipment stoppage or minor disruption.,Local hazard exposure with manageable outcome.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00002
EVT-BSEE-0003,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0003,Control Portable Electronic Device Use to Prevent Ignition Hazards Offshore,https://www.bsee.gov/safety-alerts/control-portable-electronic-device-use-to-prevent-ignition-hazards-offshore,United States,US Gulf of Mexico / OCS,UNKNOWN,Drilling & Well Intervention,THERMAL,DERIVED,False,,0,None reported / Equipment stoppage or minor disruption.,Major hydrocarbon fire or explosion resulting in multiple fatalities and facility loss.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00003
EVT-BSEE-0004,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0004,Inspect A2B Systems and Wire Rope Terminations to Prevent Crane Hazards,https://www.bsee.gov/safety-alerts/inspect-a2b-systems-and-wire-rope-terminations-to-prevent-crane-hazards,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Lifting & Rigging Operations,UNKNOWN,UNKNOWN,False,,1,Minor injury requiring first aid or medical attention.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00004
EVT-BSEE-0005,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0005,Verify Riser Fin Retention Systems Before Prompts Riser-Handling Operations,https://www.bsee.gov/safety-alerts/verify-riser-fin-retention-systems-before-prompts-riser-handling-operations,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Lifting & Rigging Operations,GRAVITATIONAL,DERIVED,True,LINE_OF_FIRE,1,Fatal injury occurred.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,TRUE,EXPLICIT,GOLD,HYBRID_VERIFIED,UNIQUE,GRP-00005
EVT-BSEE-0006,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0006,Mechanical Failure of LACT Pump Caused Fire,https://www.bsee.gov/safety-alerts/mechanical-failure-of-lact-pump-caused-fire,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Subsea & Diving Operations,THERMAL,DERIVED,False,,0,None reported / Equipment stoppage or minor disruption.,Major hydrocarbon fire or explosion resulting in multiple fatalities and facility loss.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00006
EVT-BSEE-0007,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0007,Poorly Maintained Crane Components Result in Multiple Personnel Injured During Transfers,https://www.bsee.gov/safety-alerts/poorly-maintained-crane-components-result-in-multiple-personnel-injured-during,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Lifting & Rigging Operations,GRAVITATIONAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,2,None reported / Equipment stoppage or minor disruption.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00007
EVT-BSEE-0008,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0008,BSEE Identifies Compressed Gas Cylinder Hazards During Risk-Based Inspections,https://www.bsee.gov/safety-alerts/bsee-identifies-compressed-gas-cylinder-hazards-during-risk-based-inspections,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Drilling & Well Intervention,PRESSURE,DERIVED,False,,3,None reported / Equipment stoppage or minor disruption.,"Fatal injection, impact, or explosion from uncontrolled high-pressure fluid release.",UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00008
EVT-BSEE-0009,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0009,Verify Megge Testing and Termination Prep to Prevent Seawater Pump Motor Fires,https://www.bsee.gov/safety-alerts/verify-megge-testing-and-termination-prep-to-prevent-seawater-pump-motor-fires,United States,US Gulf of Mexico / OCS,UNKNOWN,Subsea & Diving Operations,THERMAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,0,Minor injury requiring first aid or medical attention.,Major hydrocarbon fire or explosion resulting in multiple fatalities and facility loss.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00009
EVT-BSEE-0010,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0010,"Exterior Walkway Separates from Temporary Living Quarters, Putting Workers at Risk",https://www.bsee.gov/safety-alerts/exterior-walkway-separates-from-temporary-living-quarters-putting-workers-at-risk,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Subsea & Diving Operations,GRAVITATIONAL,DERIVED,False,,0,None reported / Equipment stoppage or minor disruption.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00010
