event_id,rule_id,rule_name,v2_2_status,v2_2_1_status,evidence_status,evidence_text,evidence_start,evidence_end,offset_verified,evidence_source,grounding_type,semantic_conflict
EVT-BSEE-0001,IOGP-08,Work authorization,EXPLICIT,DERIVED,DERIVED,risk assessment,1021,1036,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0003,IOGP-05,Hot work,EXPLICIT,SUPPORTED,SUPPORTED,hot work,691,699,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0003,IOGP-08,Work authorization,EXPLICIT,SUPPORTED,SUPPORTED,"table electronic devices that were not rated for hazardous locations in a Class 1, Division 2 hazardous area, and no hot work permit had been issued",574,722,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0004,IOGP-05,Hot work,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0004,IOGP-07,Safe mechanical lifting,EXPLICIT,AMBIGUOUS,AMBIGUOUS,gov Phone: (800) 200-4853 Inspect A2B Systems and Wire Rope Terminations to Prevent Crane Hazards Background: The Bureau of Safety and Environmental Enforcement Gulf of America Region recently investigated a cr,72,282,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0004,IOGP-09,Working at height,NONE,AMBIGUOUS,AMBIGUOUS,anchor point,486,498,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0005,IOGP-06,Line of fire,EXPLICIT,DERIVED,DERIVED,dropped object,3619,3633,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0005,IOGP-07,Safe mechanical lifting,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0005,IOGP-08,Work authorization,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0005,IOGP-09,Working at height,NONE,AMBIGUOUS,AMBIGUOUS,open hole,768,777,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0006,IOGP-05,Hot work,DERIVED,DERIVED,DERIVED,ignition,2140,2148,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0007,IOGP-07,Safe mechanical lifting,EXPLICIT,AMBIGUOUS,AMBIGUOUS,gov Phone: (800) 200-4853 Poorly Maintained Crane Components Result in Multiple Injured During Personnel Transfers Background: The Bureau of Safety and Environmental Enfo,72,242,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0007,IOGP-08,Work authorization,DERIVED,SUPPORTED,SUPPORTED,Stop Work,3766,3775,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0008,IOGP-05,Hot work,EXPLICIT,DERIVED,DERIVED,ignition,6764,6772,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0008,IOGP-08,Work authorization,DERIVED,DERIVED,DERIVED,job safety analysis,3583,3602,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0009,IOGP-07,Safe mechanical lifting,NONE,AMBIGUOUS,AMBIGUOUS,overload,430,438,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0010,IOGP-05,Hot work,NONE,AMBIGUOUS,AMBIGUOUS,welds,1148,1153,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0010,IOGP-06,Line of fire,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0011,IOGP-03,Driving,NONE,DERIVED,DERIVED,drive,2102,2107,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0011,IOGP-05,Hot work,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0011,IOGP-07,Safe mechanical lifting,EXPLICIT,SUPPORTED,SUPPORTED,"gov Phone: (800) 200-4853 Crane Incident During Well Abandonment Operations Injures Worker, Reveals Safety Gaps Background: The Bureau of Safety and Env",72,224,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0011,IOGP-08,Work authorization,NONE,DERIVED,DERIVED,stop work,2985,2994,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0012,IOGP-04,Energy isolation,EXPLICIT,SUPPORTED,SUPPORTED,"torship and was unfamiliar with key procedural requirements, including verifying the gas line’s condition through proper isolation checks and ensuring all necessary approvals and safety documentation were complete before starting work",1422,1656,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0012,IOGP-08,Work authorization,EXPLICIT,SUPPORTED,SUPPORTED,loped and discussed to identify and mitigate possible hazards associated with the task and have proper documentation and authorization before work begins,3297,3450,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0012,IOGP-09,Working at height,EXPLICIT,SUPPORTED,SUPPORTED,fall protection,2236,2251,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0013,IOGP-08,Work authorization,NONE,AMBIGUOUS,AMBIGUOUS,SIMOPS,1204,1210,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0014,IOGP-04,Energy isolation,EXPLICIT,DERIVED,DERIVED,isolation,1659,1668,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0014,IOGP-05,Hot work,EXPLICIT,SUPPORTED,SUPPORTED,Hot Work,1396,1404,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0014,IOGP-08,Work authorization,EXPLICIT,DERIVED,DERIVED,JSA,2786,2789,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0015,IOGP-04,Energy isolation,EXPLICIT,SUPPORTED,SUPPORTED,electrician below the MCC pushed the cable into the penetration before making contact with the receiving team inside the energized MCC cabinet,645,787,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0015,IOGP-08,Work authorization,DERIVED,DERIVED,DERIVED,Stop Work,3887,3896,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0016,IOGP-06,Line of fire,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0016,IOGP-07,Safe mechanical lifting,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0016,IOGP-08,Work authorization,EXPLICIT,SUPPORTED,SUPPORTED,JSA,3046,3049,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0016,IOGP-09,Working at height,EXPLICIT,SUPPORTED,SUPPORTED,scaffolding,2732,2743,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0017,IOGP-05,Hot work,EXPLICIT,DERIVED,DERIVED,"ndicated that the oil fill cap was absent, and both exhaust gases and oil venting from the open fill neck were potential ignition sources",456,593,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0019,IOGP-01,Bypassing safety controls,EXPLICIT,SUPPORTED,SUPPORTED,gov Phone: (800) 200-4853 ` BSEE Identifies Bypassed Safety Device Deficiencies during Risk-Based Inspections Members of the Bureau of Safety and Environmental Enforcement (,45,218,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0019,IOGP-08,Work authorization,NONE,DERIVED,DERIVED,authorized,4830,4840,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0020,IOGP-07,Safe mechanical lifting,EXPLICIT,DERIVED,DERIVED,lifting operation,1444,1461,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0020,IOGP-08,Work authorization,EXPLICIT,SUPPORTED,SUPPORTED,JSA,959,962,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0021,IOGP-03,Driving,EXPLICIT,AMBIGUOUS,AMBIGUOUS,Vehicle,212,219,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0021,IOGP-06,Line of fire,EXPLICIT,AMBIGUOUS,AMBIGUOUS,Dropped Object,2513,2527,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0021,IOGP-07,Safe mechanical lifting,DERIVED,DERIVED,DERIVED,winch,841,846,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0022,IOGP-03,Driving,DERIVED,DERIVED,DERIVED,transport,2229,2238,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0023,IOGP-07,Safe mechanical lifting,EXPLICIT,AMBIGUOUS,AMBIGUOUS,crane,1450,1455,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0024,IOGP-07,Safe mechanical lifting,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0024,IOGP-09,Working at height,EXPLICIT,SUPPORTED,SUPPORTED,scaffolding,622,633,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0025,IOGP-05,Hot work,NONE,AMBIGUOUS,AMBIGUOUS,welded,1649,1655,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0025,IOGP-06,Line of fire,EXPLICIT,AMBIGUOUS,AMBIGUOUS,dropped object,3165,3179,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0027,IOGP-02,Confined space,DERIVED,DERIVED,DERIVED,caisson,764,771,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0027,IOGP-08,Work authorization,NONE,DERIVED,DERIVED,job safety analysis,2619,2638,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0027,IOGP-09,Working at height,EXPLICIT,SUPPORTED,SUPPORTED,fall from,430,439,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0028,IOGP-03,Driving,NONE,AMBIGUOUS,AMBIGUOUS,collision,1130,1139,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0028,IOGP-05,Hot work,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0028,IOGP-07,Safe mechanical lifting,EXPLICIT,AMBIGUOUS,AMBIGUOUS,gov Phone: (800) 200-4853 BSEE Urges Increased Crane Safety Awareness During Offshore Helideck Operations The Bureau of Safety and Environmental Enforcement (BSEE) recently,45,217,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0030,IOGP-05,Hot work,EXPLICIT,SUPPORTED,SUPPORTED,hot work,691,699,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0030,IOGP-08,Work authorization,NONE,DERIVED,DERIVED,job safety analysis,2610,2629,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0030,IOGP-09,Working at height,EXPLICIT,SUPPORTED,SUPPORTED,fall protection,1348,1363,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0031,IOGP-02,Confined space,DERIVED,DERIVED,DERIVED,inert gas,5848,5857,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0031,IOGP-05,Hot work,EXPLICIT,SUPPORTED,SUPPORTED,Hot work,2538,2546,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0031,IOGP-09,Working at height,NONE,AMBIGUOUS,AMBIGUOUS,fall protection,6159,6174,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0032,IOGP-05,Hot work,NONE,AMBIGUOUS,AMBIGUOUS,gov Phone: (800) 200-4853 BSEE Alerts Offshore Workers to Trend of Recurring Hand Injuries While Using Alternative Cutting Devices The Bureau of Safety and Environmental Enforcement (BSEE) has observed a trend of safety incidents related to im,45,288,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0032,IOGP-08,Work authorization,NONE,AMBIGUOUS,AMBIGUOUS,Job Safety Analysis,1914,1933,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
